year,realrinc,age,occ10,occrecode,prestg10,childs,wrkstat,gender,educcat,maritalcat
2000,5985,48,5700,Office and Administrative Support,47,2,Full-Time,Female,High School,Divorced
2000,,39,3250,Professional,68,1,Full-Time,Female,High School,Never Married
2000,18287,36,4965,Sales,31,0,Full-Time,Male,High School,Never Married
2000,4987,44,40,Business/Finance,57,2,Full-Time,Female,Junior College,Divorced
2000,36575,44,5000,Office and Administrative Support,46,1,Full-Time,Male,Graduate,Married
2000,44887,47,800,Business/Finance,60,3,Full-Time,Male,Bachelor,Married
2000,44887,53,230,Business/Finance,59,1,Full-Time,Female,Graduate,Married
2000,66500,52,1006,Professional,65,1,Full-Time,Male,Graduate,Married
2000,18287,52,4220,Service,24,1,Full-Time,Male,High School,Married
2000,36575,51,800,Business/Finance,60,0,Full-Time,Male,Bachelor,Married
2000,44887,52,50,Business/Finance,53,2,"Unemployed, Laid Off",Female,Bachelor,Divorced
2000,18287,40,5520,Office and Administrative Support,32,4,Full-Time,Male,High School,Married
2000,18287,44,,,,0,Full-Time,Male,High School,Never Married
2000,9143,40,9260,Transportation,42,1,Full-Time,Male,Less Than High School,Married
2000,,45,,,,4,School,Female,High School,Married
2000,134018,48,20,Business/Finance,50,2,Full-Time,Male,Bachelor,Married
2000,,49,2320,Professional,64,2,Full-Time,Female,Bachelor,Married
2000,18287,54,540,Business/Finance,46,2,Housekeeper,Male,Bachelor,Widowed
2000,,55,1107,Professional,48,5,Housekeeper,Female,High School,Married
2000,18287,37,2800,Professional,40,0,Full-Time,Male,High School,Never Married
2000,54862,37,1020,Professional,60,0,"Unemployed, Laid Off",Male,Bachelor,Never Married
2000,14131,43,1540,Professional,47,0,Full-Time,Male,High School,Never Married
2000,,57,4920,Sales,49,0,Retired,Female,High School,Never Married
2000,44887,45,2840,Professional,55,3,Full-Time,Female,Junior College,Married
2000,12468,36,6220,Construction/Extraction,39,2,"Unemployed, Laid Off",Male,High School,Divorced
2000,,52,2000,Professional,51,0,Other,Male,Graduate,Never Married
2000,7481,46,4230,Service,25,1,Full-Time,Female,Less Than High School,Never Married
2000,2327,52,4610,Service,48,2,Part-Time,Female,High School,Married
2000,24937,56,5700,Office and Administrative Support,47,3,Full-Time,Female,Bachelor,Married
2000,3657,64,3245,Professional,62,2,Part-Time,Female,Bachelor,Married
2000,66500,59,230,Business/Finance,59,3,Full-Time,Male,Graduate,Married
2000,,46,4700,Sales,38,3,Housekeeper,Female,High School,Married
2000,,39,5700,Office and Administrative Support,47,3,Full-Time,Female,High School,Divorced
2000,15793,51,5820,Office and Administrative Support,37,2,Full-Time,Female,High School,Divorced
2000,29925,45,2550,Professional,50,2,Full-Time,Female,Graduate,Divorced
2000,,43,4760,Sales,31,5,Housekeeper,Male,High School,Widowed
2000,21612,61,4600,Service,35,3,Full-Time,Female,Junior College,Divorced
2000,,41,4720,Sales,28,1,Other,Female,High School,Never Married
2000,18287,40,3600,Service,48,3,Part-Time,Female,High School,Married
2000,2327,44,2540,Professional,48,4,Part-Time,Female,Junior College,Married
2000,,40,3600,Service,48,4,Temporarily Not Working,Male,High School,Married
2000,2327,51,,,,2,Part-Time,Female,High School,Married
2000,29925,53,5410,Office and Administrative Support,33,3,Full-Time,Female,Bachelor,Separated
2000,54862,45,6355,Construction/Extraction,49,1,Full-Time,Male,Junior College,Married
2000,21612,46,8740,Production,39,1,Full-Time,Female,,Divorced
2000,15793,51,205,Business/Finance,46,0,Full-Time,Male,High School,Never Married
2000,,53,8965,Production,35,0,Full-Time,Female,High School,Married
2000,333,52,2200,Professional,74,3,Part-Time,Female,Graduate,Married
2000,,39,1030,Professional,55,0,Full-Time,Male,Graduate,Divorced
2000,,47,2310,Professional,61,2,Full-Time,Male,Graduate,Married
2000,44887,45,1460,Professional,70,0,Full-Time,Male,Bachelor,Married
2000,,48,,,,2,Housekeeper,Female,Bachelor,Married
2000,29925,50,1430,Professional,63,1,Full-Time,Male,Bachelor,Married
2000,,45,50,Business/Finance,53,2,Other,Female,Bachelor,Married
2000,,56,800,Business/Finance,60,2,Full-Time,Male,Bachelor,Divorced
2000,44887,47,800,Business/Finance,60,0,Full-Time,Female,Bachelor,Divorced
2000,,52,8640,Production,31,4,Full-Time,Male,High School,Married
2000,,39,3160,Professional,65,2,Full-Time,Male,Bachelor,Separated
2000,44887,48,1550,Professional,50,2,Full-Time,Female,High School,Never Married
2000,18287,62,3655,Service,49,0,Full-Time,Female,High School,Divorced
2000,21612,57,5400,Office and Administrative Support,38,2,Full-Time,Female,High School,Divorced
2000,,60,9130,Transportation,35,3,Retired,Male,Less Than High School,Separated
2000,9143,47,7700,Production,50,6,Housekeeper,Female,Less Than High School,Married
2000,,55,4110,Service,31,3,Other,Female,Less Than High School,Widowed
2000,,43,,,,3,Other,Female,Less Than High School,Separated
2000,,44,8220,Production,44,3,"Unemployed, Laid Off",Male,Less Than High School,Married
2000,,40,4920,Sales,49,2,Full-Time,Male,Junior College,Divorced
2000,15793,37,8140,Production,38,3,Full-Time,Female,High School,Divorced
2000,,56,8930,Production,32,3,Full-Time,Male,Less Than High School,Divorced
2000,,36,6260,Construction/Extraction,28,2,Housekeeper,Male,Less Than High School,Never Married
2000,,35,9130,Transportation,35,0,School,Male,High School,Never Married
2000,9143,50,5810,Office and Administrative Support,37,2,Full-Time,Female,High School,Divorced
2000,5985,38,3400,Professional,62,3,Housekeeper,Female,High School,Widowed
2000,,57,6420,Construction/Extraction,35,3,Retired,Male,Less Than High School,Separated
2000,,60,4700,Sales,38,6,Retired,Female,High School,Widowed
2000,1330,58,2310,Professional,61,4,Full-Time,Female,High School,Never Married
2000,36575,39,4710,Sales,48,1,Full-Time,Female,Bachelor,Never Married
2000,,44,4720,Sales,28,0,Housekeeper,Female,High School,Never Married
2000,18287,40,5000,Office and Administrative Support,46,4,Full-Time,Female,High School,Never Married
2000,,36,,,,4,Housekeeper,Female,Less Than High School,Never Married
2000,,52,2540,Professional,48,2,Full-Time,Male,High School,Married
2000,15793,41,5400,Office and Administrative Support,38,1,Full-Time,Female,High School,Married
2000,36575,48,5240,Office and Administrative Support,31,1,Full-Time,Female,High School,Separated
2000,44887,41,4220,Service,24,2,Full-Time,Male,High School,Widowed
2000,134018,58,430,Business/Finance,39,6,Full-Time,Male,Graduate,Married
2000,24937,48,2310,Professional,61,3,Full-Time,Female,Bachelor,Married
2000,,63,2025,Professional,56,5,Housekeeper,Female,High School,Married
2000,12468,43,4220,Service,24,3,Full-Time,Female,High School,Married
2000,7481,62,4230,Service,25,7,Part-Time,Female,Less Than High School,Married
2000,54862,48,5250,Office and Administrative Support,50,0,Full-Time,Male,Bachelor,Never Married
2000,,49,6050,"Farming, Fishing, and Forestry",27,1,Part-Time,Male,Graduate,Married
2000,29925,48,800,Business/Finance,60,3,Full-Time,Male,Bachelor,Divorced
2000,24937,42,220,Business/Finance,53,2,Full-Time,Male,Less Than High School,Married
2000,,36,10,Business/Finance,72,1,Full-Time,Female,High School,Married
2000,29925,36,6830,Construction/Extraction,38,2,Full-Time,Male,High School,Married
2000,,38,2600,Professional,46,4,Other,Male,High School,Married
2000,44887,58,3255,Professional,64,2,Full-Time,Female,Bachelor,Married
2000,,47,1006,Professional,65,7,Housekeeper,Female,Junior College,Married
2000,36575,55,7330,"Installation, Maintenance, and Repair",38,2,Full-Time,Female,High School,Married
2000,,45,6260,Construction/Extraction,28,2,Temporarily Not Working,Male,High School,Married
2000,,45,1020,Professional,60,2,Part-Time,Female,Bachelor,Married
2000,54862,48,1105,Professional,61,1,Full-Time,Male,Bachelor,Widowed
2000,,50,2100,Professional,69,,Full-Time,Male,,Married
2000,66500,50,4920,Sales,49,2,Full-Time,Male,Graduate,Married
2000,54862,51,1006,Professional,65,2,Full-Time,Male,Graduate,Married
2000,44887,48,2330,Professional,61,2,Full-Time,Female,Graduate,Divorced
2000,,45,850,Business/Finance,63,1,Full-Time,Female,Graduate,Married
2000,333,39,140,Business/Finance,50,2,Full-Time,Male,Bachelor,Married
2000,54862,38,2100,Professional,69,0,Full-Time,Male,Graduate,Never Married
2000,29925,40,420,Business/Finance,52,0,Full-Time,Male,Bachelor,Never Married
2000,18287,56,2010,Professional,54,1,Retired,Male,Less Than High School,Divorced
2000,29925,43,5700,Office and Administrative Support,47,0,Full-Time,Female,High School,Never Married
2000,,56,2200,Professional,74,0,Full-Time,Male,Bachelor,Married
2000,,48,,,,8,Housekeeper,Female,Less Than High School,Never Married
2000,7481,48,2540,Professional,48,2,Part-Time,Female,High School,Divorced
2000,,38,,,,3,Housekeeper,Female,Less Than High School,Separated
2000,7481,40,5610,Office and Administrative Support,35,2,Full-Time,Female,Bachelor,Married
2000,2327,39,5920,Office and Administrative Support,39,3,Part-Time,Female,Bachelor,Married
2000,44887,45,4700,Sales,38,1,Full-Time,Male,High School,Divorced
2000,5985,52,1010,Professional,63,0,Part-Time,Male,Bachelor,Divorced
2000,36575,53,710,Business/Finance,51,0,Full-Time,Female,High School,Never Married
2000,7481,53,5700,Office and Administrative Support,47,2,Retired,Female,High School,Married
2000,18287,39,2630,Professional,46,0,Temporarily Not Working,Female,Bachelor,Married
2000,36575,41,100,Business/Finance,59,2,Full-Time,Male,High School,Married
2000,36575,45,2320,Professional,64,2,Full-Time,Female,Graduate,Separated
2000,29925,36,8620,Production,39,2,Full-Time,Male,High School,Married
2000,12468,35,4510,Service,36,0,Part-Time,Female,Junior College,Never Married
2000,18287,38,4110,Service,31,2,Temporarily Not Working,Female,Less Than High School,Divorced
2000,5985,62,4220,Service,24,3,Other,Male,Less Than High School,Never Married
2000,21612,53,5240,Office and Administrative Support,31,1,Full-Time,Female,High School,Married
2000,,45,220,Business/Finance,53,0,Full-Time,Male,High School,Never Married
2000,24937,46,2145,Professional,52,2,Full-Time,Male,High School,Married
2000,29925,56,7430,"Installation, Maintenance, and Repair",33,0,Full-Time,Male,High School,Married
2000,2327,42,4150,Service,33,0,Housekeeper,Female,High School,Never Married
2000,24937,36,6440,Construction/Extraction,43,4,Full-Time,Male,Less Than High School,Married
2000,44887,49,2320,Professional,64,0,Full-Time,Male,Graduate,Separated
2000,,53,5400,Office and Administrative Support,38,1,Housekeeper,Female,High School,Married
2000,,42,3255,Professional,64,3,Housekeeper,Female,Graduate,Married
2000,,50,5840,Office and Administrative Support,38,2,Housekeeper,Female,Junior College,Married
2000,,50,5700,Office and Administrative Support,47,3,"Unemployed, Laid Off",Female,High School,Widowed
2000,44887,51,7010,"Installation, Maintenance, and Repair",49,0,Full-Time,Male,High School,Married
2000,4322,35,4950,Sales,21,3,Full-Time,Male,Less Than High School,Married
2000,10806,54,4740,Sales,24,2,Full-Time,Male,Junior College,Married
2000,,36,2825,Professional,46,1,Housekeeper,Female,High School,Married
2000,36575,48,2310,Professional,61,1,Full-Time,Female,Bachelor,Married
2000,,54,2310,Professional,61,3,School,Female,High School,Married
2000,,62,3600,Service,48,2,Retired,Female,High School,Divorced
2000,44887,51,4700,Sales,38,0,Full-Time,Male,High School,Never Married
